id,sentence,japanese,answer
83,start a company with only a little ____,わずかな資本で会社を始める,capital
83,a ____ offence,死罪,capital
84,____ ____ ____ ____ ____,アメリカ合衆国,the United States of America
84,his ____ ____ ____,彼の精神状態,state of mind
84,the separation of church and ____,政教分離(教会と国家の分離),state
84,____ my opinion,私の意見を言う,state
85,the ____ situation in Russia,ロシアの政治情勢,political
86,pay a very high ____ for the painting,その絵に非常に高額(の価格)を支払う,price
86,____ have gone up by 5%.,物価が5%上がった.,Prices
86,pay the ____ of success,成功の代償を払う,price
87,pay ____ ____ ____ for antiques,骨とう品に大金を使う,a large sum
87,The ____ of 5 and 8 is 13.,25と8の和は13だ,sum
87,____ ____ in my head,暗算する(頭の中で計算する),do sums
87,____ ____ the main points,重要な点を要約する,sum up
88,our ____ ____ this trip,今回の旅の予算,budget for
88,at a ____ ____,お手頃価格で,budget price
89,pay ____ ____ ____,キャンセル料を払う,a cancellation fee
89,legal ____,弁護士への謝礼,fees
90,____ ____ are low in Singapore.,シンガボールのタクシー料金(運賃)は安い,Taxi fares
91,May we have the ____?,お会計お願いします.,bill
91,the phone ____,電話代の請求書,bill
91,____ ten thousand-yen ____,1万円札,a bill
91,approve[veto] a ____,法案を承認[拒否]する,bill
92,Japan's ____ with the U.S.,日本の対米貿易,trade
92,____ hotel ____,ホテル業,the trade
92,the basics of ____,商売の基本,trade
92,____ email addresses ____ him,彼とメールアドレスを交換する,trade with
93,____ ____ and power,富と権力を手にする,achieve wealth
93,____ ____ ____ knowledge,豊富な知識,a wealth of
94,____ ____ ____ ____,日本経済を活性化する,boost the Japanese economy
94,for the sake of ____,節約のため,economy
95,The suit ____ [× was] me 500 dollars.,そのスーツは 500ドルした(かかった).,cost
95,That mistake ____ me my fortune.,そのミスで財産を失った,cost
95,"In Switzerland, the ____ of living is very high.",スイスでは生活費がとても高い.,cost
96,____ ____ a big ____,大きな会社で働く,work for company
96,I always enjoy ____ ____.,"彼と一緒にいるといつも楽しい,",his company
96,People judge you by the ____ you keep.,人は付き合っている仲間で判断されます。,company
96,We are expecting ____ today.,今日は来客があります.,company
97,____ a difficult ____,困難な仕事を成し遂げる,accomplish task
98,____ money to pay my school fees,学費を払う金を稼ぐ,earn
98,____ a ____ as a hard worker,勤勉との評判を得る,earn reputation
99,My back ____ a lot.,腰がとても痛い.,hurts
99,He ____ his knee while (he was) playing football.,彼はサッカーをやっていて膝を痛めた,hurt
100,____ my back,腰を痛める,injure
100,____ ____ ____ in an accident,事故で重傷を負う,be seriously injured
101,seriously ____the environment,環境に深刻な被害を与える,damage
101,do ____ to  the  village,その村に被害を与える,damage
101,claim ____,損害賠償を請求する,damages
102,____ all weapons,すべての武器を破壊する,destroy
102,This horse has to ____ ____.,この馬を殺処分するしかない。,be destroyed
103,You ____ my plan.,君のせいで計画が台無しだよ,ruined
103,The flood ____ the town.,洪水が町を破壊してしまった。,ruined
103,the ____ of Pompeii,ボンペイの遺跡,ruins
104,Tigers are ____ ____ ____ extinction.,トラが絶滅の危機にある。,in danger of
105,chat with a ____,近所の人と話す,neighbor
105,My next-door ____ dog barks day and night.,隣の人の犬が昼夜問わず吠える。,neighbor's
106,draw a large____,大観衆を集める,audience
107,A ____ rushed into the hall.,群衆が会場になだれ込んだ。,crowd
108,____ ____ ____ War and Peace,『戦争と平和』の著者,the author of
108,The ____ was signing copies of his new book.,その作家は彼の新刊本にサインをしていた。,author
109,Most of the ____ is from Australia.,職員の大半はオーストラリア出身です。,staff
110,the ____ at that department store,あのデパートの店員,clerks
110,a bank ____,銀行員,clerk
111,The restaurant was crowded with ____ from abroad.,そのレストランは外国人客で混雑していた。,customers
112,There were a lot of ____ on the train.,列車には多くの乗客が乗っていた。,passengers
113,give up my seat to ____ ____,お年寄りに席を譲る,elderly people
113,priority seats for ____ ____,お年寄りのための優先席,the elderly
114,____ workers,女性の労働者,female
114,a ____ cat,雌のネコ,female
114,the ____ of the species,その種の雌,female
115,____ ____ the beach,海辺に向かう,head for
115,an investigative team ____ ____ Mr. Nakahara,中原氏が率いる調査団,headed by
116,Someone was ____ me.,誰かが私をつけていた。,following
116,____ his advice,彼の忠告に従う,follow
117,____ ____ the town,街をぶらぶら歩き回る,wander about
118,____ ____the world,世界中を旅する,travel around
118,Light ____ faster than sound.,光は音より速く進む。,travels
119,____ the post office,郵便局の前を通り過ぎる,pass
119,____ five runners on the final lap,最後の一周で５人の走者を抜く,pass
119,____ the bar exam,司法試験に受かる,pass
119,"____ me the salt, please.",塩を取ってください,Pass
119,____ ____ ____,時の経過と共に,as time passes
119,an annual ____ for the theme park,そのテーマパークの年間パス,pass
120,Things ____ ____ ____ improve.,事態はよくなりそうだ。,are likely to
120,He will very ____ stay home.,おそらく、彼は家にいるだろう。,likely
121,It is only ____ that you cannot catch words you do not know.,知らない単語を聞き取れないのはごく当然のことだ.,natural
121,____ beauty,自然美,natural
121,her ____ talent,彼女の生まれつきの才能,natural
122,He ____ ____ ____ become a star player.,彼はきっとスター選手になるよ.,is certain to
122,be sent to a ____ country,ある国に派遣される,certain
123,The repairs will ____ take a month.,修理はおそらく1か月はかかるだろう,probably
124,We ____ ____ ____ a crisis.,私たちは危機に直面している.,are faced with
124,a window ____ (to the) south,南向きの窓,facing
124,____ ____,面目を失う,lose face
125,____ ____ eye contact with monkeys.,サルとは目を合わせないようにしなさい(サルと目を合わせることを避けろ).,Avoid making
126,____ the math problem,その数学の問題を解く,solve
127,have ____ ____,寝つけない(眠るのに苦労する),trouble sleeping
127,I'm sorry to ____ you.,お手数をおかけしてすみません。,trouble
128,an international ____,国際問題,issue
128,the latest ____ of a magazine,雑誌の最新号,issue
128, ____ a passport,パスポートを発行する,issue
129,____ all the players ____,すべての選手たちに声援を送る,cheer on
129,His arrival ____ me ____.,彼の到着で元気が出た(私を励ました).,cheered up
129,give[raise] a ____,声援を送る,cheer
129,"""____!"" shouted Adam.",「乾杯!」とアダムは叫んだ.,Cheers
130,____ people to bike ____ work,人々に自転車通勤するよう促す,encourage to
130,____ the students,生徒たちを元気づける,encourage
131,firmly ____ her,強く彼女を支持する,support
131,____ a family of four,4人家族を養う,support
131,This ____ my idea.,これが私の考えを立証する.,supports
131,____ ____,財政的援助,financial support
132,The heavy snow ____ us ____ going out.,大雪のため外出できなかった(私たちが外出するのを妨げた).,prevented from
132,____ the flu,インフルエンザの予防をする,prevent
133,____ ____ he is a great scientist,彼が偉大な科学者であることを否定する,deny that
133,____ them the right to vote,彼らに投票権を与えない,deny
134,The internet has ____ us ____ receive information right away.,インターネットのおかげで情報をすぐに得られるようになった(私たちが情報をすぐに得ることを可能にした)。,enabled to
135,____ ____ landing on the moon,月面着陸に成功する,succeed in
135,____ ____ the family business,家業を引き継ぐ,succeed to
136,____ the last train,終電を逃す,miss
136,____ school for two days,2日間学校を休む,miss
136,I ____ you.,あなたに会えなくて寂しい(あなたが恋しい).,miss
137,____ ____ business,商売で失敗する,fail in
137,____ ____ see what happened,何が起きたかわからない,fail to
137,____ the exam,試験に落ちる,fail
137,My memory ____ ____ these days.,"近頃,記憶が(私に)役立たない",fails me
138,____ grammatical ____,文法ミスをする,make mistakes
138,____ him ____ his twin brother,彼を双子の弟と間違える,mistake for
139,____ the brakes,そのブレーキを調べる,check
139,____ the spread of the disease,その病気の流行を阻止する,check
139,sign a ____,小切手に署名する,check
139,"Can I have the ____,please?","お勘定をお願いいたします,",check
139,____ a ____ ____,健康診断を受ける,have medical check
139,____ their activities ____ ____,彼らの活動を食い止める(抑制して留める),hold in check
140,____ the comic under the pillow,枕の下に漫画を隠す,hide
140,my ____ place,私の隠れ場所,hiding
141,____ her portrait,彼女の似顔絵を描く,draw
141,____ ____ ____ ____ that fact,その事実に彼の注目を向けさせる,draw his attention to
141,a cart ____ by two horses,2頭の馬に引かれた荷馬車,drawn
142,____ the Me Too movement,Me Too 運動に参加する,join
142,____ pipes together,配水管を一本につなぐ,join
142,____ us for lunch.,お昼を一緒に食べようよ。,Join
142,____ ____ the discussion,その議論に(途中から)参加する,join in
143,____ me a rope.,ロープを投げてくれ。,Throw
143,Don't ____ ____ your empty cans here.,ここに空き缶を捨てるな,throw away
143,____ a party for him,彼のためにバーティを開く,throw
143,a ____ of 100 meters,100メートルの投てき,throw
144,____ five machines at once,1度に5台の機械を操作する,operate
144,____ ____ a patient ____ cancer,患者にがんの手術をする,operate on for
144,____ efficiently,能率的に運営される,operate
145,____ a bicycle,自転車を修理する,repair
145,____ damage to his neck,彼の首の損傷を修復する,repair
145,a smartphone ____ ____,修理中のスマートフォン,under repair
146,She ____ all her own dresses.,彼女は自分の服をすべて自分で縫っている,sews
146,____ a button ____,ボタンを縫いつける,sew on
147,____ your hand.,手を上げて、,Raise
147,____ children,子どもを育てる,raise
147,____ ____,資金を集める,raise funds
147,____ the issue of aging,高齢化の問題を提起する,raise
147,get a pay ____,給料が上がる(賃上げを得る),raise
148,____ wine to the guests,客にワインを出す,serve
148,This experience will ____ you well.,この経験は君の役に立つだろう.,serve
148,The hospital ____ ____ a school.,その病院は学校として使われていた.,served as
149,____ tea ____ all of the guests,客みんなにお茶を注ぐ,pour for
149,It ____ all night.,一晩中土砂降りだった(雨が降りそそいだ).,poured
150,____ coffee all ____ my laptop,コーヒーをノートパソコンの上にこぼす,spill over
150,an oil ____ in the Atlantic Ocean,大西洋の石油流出,spill
151,____ ____ be sleeping,寝ているふりをする,pretend to
152,He ____ ____ in class.,"彼の授業中の態度は悪い(彼は授業中,行儀悪くふるまう).",behaves badly
152,tell him to ____ ____,彼に行儀よくふるまうように言う,behave himself
153,____ ____ the noise,騒音に耐えられない,cannot bear
153,____ ____ ____ for the accident,その事故の責任を負う,bear the responsibility
153,She ____ ____ ____ ____ ____ ____ ____ ____ ____.,彼女は裕福な家に生まれた.,was born with a silver spoon in her mouth
154,____ the surface of Mars,火星の地表を探査する,explore
154,____ the possibility of collaboration,コラボの可能性を探る,explore
155,What ____ ____ her?,彼女に何が起こったの.,happened to
155,I ____ ____ meet him.(=It happened that I met him.),彼にたまたま会った.,happened to
156,The singer ____ on the stage.,その歌手がステージに現れた.,appeared
156,He ____ ____ ____ sleeping.(=It appears that he is sleeping.),彼は寝ているようだ.,appears to be
157,The cause of the accident ____ unknown.,その事故の原因はいまだに知られていない(知られていないままだ).,remains
157,Five people ____ in the room.,部屋には5人が残っていた.,remained
158,eat grass in order to ____,生き延びるため草を食べる,survive
158,____ a plane crash,飛行機の事故で生き残る,survive
159,Sam ____ to the Sales Department.,サムは営業部に所属している。,belongs
160,____ Japan at the World Cup,ワールドカップ日本代表となる,represent
160,This sign ____ a temple.,このマークは寺を表す.,represents
160,This painting ____ the fight between good and evil.,この絵画は善と悪の戦いを表現している.,represents
161,This novel ____ ____ ____ facts.,この小説は事実に基づいている。,is based on
161,"I work in many places, but my ____ is here.",多くの場所で働いているが、私の基盤はここだ,base
161,a secret ____,秘密基地,base
162,The price ____ postage.(Postage ____ ____ in the price.),価格には送料が含まれています(送料を含む).,includes is included
163,This soup ____ various herbs.,このスープにはさまざまな薬草が入っている (さまざまな薬草を含んでいる).,contains
163,I cannot ____ my anger.,怒りを抑えられない.,contain
164,with my ____ eyes,私自身の目で,own
164,I decided to quit the company and start my ____.,会社を辞め、 自分の会社を始めることに決めた。,own
164,____ ten companies in India,インドに 10の会社を所有している,own
165,____ a table ____ a stranger,知らない人と相席(席を共有) する,share with
165,Could you ____ your opinion about this?,これについてのあなたのご意見をお聞かせください.,share
165,a flat ____,アパートの共有,share
165,a ____ of the profits,利益の分け前,share
166,____ teddy bears,クマのぬいぐるみを集める,collect
166,____ ____ ____ for recycling,リサイクルのために空き缶を回収する,collect empty cans
167,____ information,情報を集める,gather
167,____ around the teacher,先生のまわりに集まる,gather
168,the best soccer player ____ ____,史上最高のサッカー選手,in history
168,an update ____,更新履歴,history
169,a required ____,必須科目,subject
169,get off the ____,話題からそれる,subject
169,the ____ of the experiment,その実験の被験者,subject
169,The program ____ ____ ____ change.,プログラムは変更の可能性がありま(変更を受けやすい).,is subject to
170,____ a ____ ____,よい教育を受ける,receive good education
171,have ____ ____ ____ ____ ____ of cinema,映画に関する幅広い知識を持っている,a wide range of knowledge
172,wear a ____ ____,学校の制服を着ている,school uniform
172,maintain a ____ temperature,一定の温度を保つ,uniform
173,She is ____ ____ ____ ____.,彼女は8年生(中学2年生)だ.,in the eighth grade
173,low-____ products,低級の製品,grade
173,a high ____ in math,数学での好成績,grade
174,a college ____,大学4年生,senior
174,____ ____,高齢者,senior citizens
174,a ____ manager,上級管理者,senior
175,____ from high school,高校を卒業する,graduate
176,____ to live on my own,一人で暮らすことを決心する,decide
176,____ on a date for the wedding,結婚式の日取りを決める,decide
177,____ someone by their appearance,人を外見で判断する,judge
177,a Supreme Court ____ （◇the lay judge system）,最高裁判所の裁判官 （◇(日本の)裁判員制度）,judge
178,____ my job,仕事をやめる,quit
179,____ from the company,会社を(定年で)退職する,retire
180,a ____ of the tax system,税制の見直し,review
180,a ____ of his new book,彼の新刊本の書評,review
180,do a ____ of the last lesson,前の課を復習する,review
181,____ what to wear to school,学校へ着ていく服を選ぶ,choose
181,____ ____ the two,2つから選ぶ,choose between
182,____ life without electricity.,電気のない生活を想像してごらん.,Imagine
183,____ what is in this bag.,この袋に何が入っているかを当ててごらん.,Guess
183,This is only a ____.,これは推測にすぎない.,guess
184,We are ____ a typhoon.,台風が来るらしい(来ることを予期している).,expecting
184,Don't ____ too much of[from] him.,彼にあまり期待しすぎる(あまりに多くのことを期待する)な,expect
184,She is ____ (a baby).,彼女はおめでたです(赤ん坊を身ごもっています).,expecting
185,____ ____ cherry blossoms will start to flower,桜の開花時期を予測する,predict when
186,I ____ ____ her here[that I met her here].,彼女にここで会ったことを覚えています.,remember meeting
186,Did you ____ ____ feed the dog?,イヌにエサをやるのを覚えてた?,remember to
186,____ ____ ____ your wife.,奥さんによろしくお伝えください.,Remember me to
187,This song ____ me ____ him.,"この歌は彼のことを私に思い出させる,",reminds of
187,____ him not to be late,彼に遅れないように念を押す,remind
188,Jim ____ [× noticed] that he did not love her any more.,ジムはもう彼女のことを愛していないことに気づいた.,realized
188,She ____ her ____ of running her own shop.,彼女は自分の店を経営するという夢を実現した.,realized dream
189,____ the importance of discussion,話し合いの重要性を理解する,appreciate
189,____ [× understand] the flavors of Japanese cuisine,和食の味がわかる,appreciate
189,I'd ____ it if you could help me.,助けていただければありがたいのですが,appreciate
190,____ other people's ____,他人の意見を受け入れる,accept opinions
191,____ all the possibilities,すべての可能性を考える,consider
191,____ other people,人(の気持ち)を思いやる,consider
191,____ it (to be) meaningless,それは無意味だとみなす,consider
192,____ ____ ____ ____ I open the window?,窓を開けてもいいですか(窓を開けるのを気にしますか).,Do you mind if
192,the ____ of children,子どもの心,minds
192,Great ____ think alike. (*人と意見が一致したときにふざけて言う表現.),《ことわざ)賢人は同じように考える.,minds
193,I ____ [× think] ____ he has gone.,彼はどこに行ってしまったのだろうか.,wonder where
193,____ ____ his ability,彼の才能に驚く,wonder at
194,____ ____ ____ he knows what happened.,彼は起きたことを知っているようだ.,It seems that
194,He ____ ____ know what happened.,彼は起きたことを知っているようだ.,seems to
195,____ city life ____ country life,都会の生活を田舎の生活と比較する,compare with
195,____ life ____ a voyage,人生を航海に例える,compare to
195,No one can ____ ____ him in academic ability.,学力で彼に匹敵する者はいない.,compare with
196,____ ____ my studies,勉強に集中する,concentrate on
196,____ your attention ____ your job.,仕事に集中しなさい(仕事に注意を集中させなさい).,Concentrate on
197,This book ____ ____ French culture.,"この本はフランス文化に焦点を当てている,",focuses on
197,become the ____ of media attention,マスコミの注目の的になる,focus
198,Please ____ me ____ introduce myself.,自己紹介をさせて(自己紹介するのを許可して)ください.,allow to
198,This machine ____ you ____ measure your blood pressure.,この機械で血圧を測ることができます(血圧を測ることを可能にする).,allows to
199,Tom ____ ____ he had been mistaken.,トムは自分が間違っていたことを認めた,admitted that
199,be ____ ____ the university,大学入学を許可される,admitted to
200,deep ____ ____ ____,地中深くに,in the ground
200,____ ____ ____ ____ he is young,彼は若いという理由(根拠)で,on the grounds that
201,prevent marine ____,海洋汚染を食い止める,pollution
202,Snow is a rare ____ in this area.,雪はこの地域では珍しい光景です.,sight
202,recover my ____,視力を回復する,sight
203,enjoy a ____ ____ ____ Kobe,神戸の夜景(夜の景色)を楽しむ,night view of
203,____ ____ things ____ a different ____ ____ ____,視点を変えて(異なる視点から)物事を見る,look at from point of view
203,Skiing is ____ ____ the national sport of Norway.,"スキーはノルウェーの国技だとみなされている,",viewed as
204,the beautiful ____ of Scotland,スコットランドの美しい風景,landscape
204,____ political ____ of Japan,日本の政治情勢,the landscape
205,____ ____,自然を守る,preserve nature
205,____ ____ ____ ____ the problem,その問題の本質,the true nature of
206,sunflower ____,ひまわりの種,seeds
206,He is ____ ____ in this tournament.,彼はこのトーナメントで第1シードの選手だ.,top seed
207,water a ____,植物に水をやる,plant
207,a chemical ____,化学工場,plant
207,____ tulips in the garden,庭にチューリップを植える,plant
208,Flowers ____ all over the field.,野原には一面花が咲いていた.,bloomed
208,The cherry trees ____ ____ ____ ____.,サクラが満開だ.,are in full bloom
209,the ____ ____ this year,今年の米の収穫,rice harvest
209,newly-____ rice,新米(新たに収穫された米),harvested
209,____ organs,臟器を摘出する,harvest
210,the chirping of ____,(チーッチーッという)虫の音,insects
211,____ ____ ____ ____ last week.,"先週,地震が起きた.",There was an earthquake
212,The ____ reached 40 degrees.,気温が40度まで上がった.,temperature
212,____ his ____,彼の体温を測る,take temperature
213,freeze at zero ____,ゼロ度で凍る,degrees
213,speak French ____ ____ ____,ある程度フランス語を話す,to some degree
213,get a ____ in engineering,工学の学位をとる,degree
214,The ____ washed the bridge away.,洪水で橋が流された.,flood
214,The streets are ____.,通りは水浸しだ(水浸しにされた).,flooded
215,The pond ____ ____.,池が一面凍った.,froze over
215,____ bananas in the freezer,冷凍庫でバナナを凍らせる,freeze
216,____ the sunlight,日光を反射する,reflect
216,The clothes people wear ____ the times.,人々の着ている服は時代を反映している.,reflect
